User_ID,Mthly_HH_Income,Mthly_HH_Expense,Emi_or_Rent_Amt,No_of_Earning_Members,Savings_Amount,Debt_to_Income_Ratio,Investment_Horizon,Risk_Tolerance,Preferred_Investment_Type,Investment_Experience,Market_Volatility_Tolerance,Short_Term_Goal,Mid_Term_Goal,Long_Term_Goal,Goal_Based_Investing
29,12663.46,13680.56,225.96,1,-1243.06,0.25,Long,High,Equity,Intermediate,High,Vacation,Education Fund,Long-Term Security,Yes
30,2836.11,2623.5,17.26,1,195.34,0.78,Long,Moderate,Equity,Expert,Medium,Short-Term Savings,Education Fund,Retirement,No
31,12935.81,12120.23,744.64,3,70.94,0.53,Long,Low,Equity,Beginner,High,Vacation,Education Fund,Long-Term Security,Yes
32,5069.43,2552.31,379.48,1,2137.64,0.34,Long,Moderate,Equity,Beginner,High,Short-Term Savings,Education Fund,Retirement,No
33,3170.93,3615.39,149.02,1,-593.48,0.7,Medium,Moderate,Mutual Fund,Expert,Low,Emergency Fund,Car Purchase,Retirement,Yes
34,19079.94,20426.82,277.77,1,-1624.65,0.55,Short,Low,Money Market,Expert,Low,Emergency Fund,Home Renovation,Long-Term Security,No
35,19381.38,20967.14,1658.85,3,-3244.62,0.51,Long,Moderate,Real Estate,Expert,Medium,Emergency Fund,Education Fund,Retirement,No
36,16551.15,15367.89,1732.95,2,-549.69,0.58,Short,Low,Debt,Beginner,Medium,Emergency Fund,Home Renovation,Long-Term Security,No
37,7483.05,5418.56,261.31,3,1803.18,0.59,Long,High,Mutual Fund,Intermediate,High,Vacation,Education Fund,Retirement,Yes
38,3758.1,4062.02,363.86,1,-667.78,0.39,Short,Moderate,Debt,Intermediate,Low,Emergency Fund,Car Purchase,Retirement,No
39,14316.19,9870.82,4236.3,5,209.08,0.34,Long,High,Equity,Beginner,Medium,Short-Term Savings,Car Purchase,Wealth Accumulation,No
40,9922.74,8590.74,781.92,1,550.09,0.73,Medium,Low,Equity,Beginner,High,Emergency Fund,Education Fund,Wealth Accumulation,Yes
41,4196.69,2370.39,2384.89,3,-558.6,0.4,Medium,Moderate,Mutual Fund,Beginner,High,Short-Term Savings,Home Renovation,Long-Term Security,Yes
42,10913.18,11996.55,49.75,3,-1133.12,0.17,Medium,Low,Debt,Beginner,High,Short-Term Savings,Car Purchase,Retirement,Yes
43,2618.99,1549.14,321.63,4,748.23,0.42,Short,Moderate,Money Market,Expert,Low,Vacation,Home Renovation,Long-Term Security,Yes
44,18367.77,11868.94,7650.11,5,-1151.28,0.03,Long,High,Equity,Beginner,High,Vacation,Education Fund,Wealth Accumulation,No
45,6658.04,5744.47,1592.68,3,-679.11,0.58,Medium,Moderate,Debt,Intermediate,Medium,Short-Term Savings,Home Renovation,Wealth Accumulation,No
46,13925.4,13878.9,819.1,2,-772.59,0.1,Long,High,Equity,Intermediate,High,Vacation,Home Renovation,Wealth Accumulation,Yes
47,7610.8,6869.34,140.4,1,601.06,0.09,Long,High,Real Estate,Expert,High,Vacation,Home Renovation,Wealth Accumulation,No
48,11361.22,7394.87,5353.2,2,-1386.85,0.76,Long,High,Mutual Fund,Intermediate,High,Vacation,Car Purchase,Retirement,Yes
49,11840.79,5927.65,2597.82,3,3315.31,0.62,Long,High,Equity,Intermediate,Medium,Vacation,Car Purchase,Wealth Accumulation,No
50,5327.38,5285.55,216.71,3,-174.88,0.33,Medium,High,Debt,Beginner,Medium,Emergency Fund,Education Fund,Wealth Accumulation,No
51,19452.52,22183.36,598.46,2,-3329.3,0.19,Medium,Low,Debt,Intermediate,Medium,Emergency Fund,Home Renovation,Wealth Accumulation,No
52,15952.39,16374.23,2520.09,2,-2941.93,0.67,Long,High,Equity,Beginner,High,Short-Term Savings,Home Renovation,Wealth Accumulation,Yes
53,18910.98,15112.41,330.12,4,3468.45,0.77,Short,Moderate,Money Market,Intermediate,Medium,Short-Term Savings,Home Renovation,Wealth Accumulation,No
54,18106.89,19690.32,1560.67,1,-3144.1,0.41,Medium,High,Mutual Fund,Beginner,Medium,Short-Term Savings,Home Renovation,Retirement,No
55,12762.2,9780.96,3167.88,2,-186.64,0.46,Long,High,Equity,Intermediate,Medium,Vacation,Education Fund,Long-Term Security,Yes
56,18593.74,15641.18,2838.3,1,114.25,0.19,Long,Low,Equity,Intermediate,High,Emergency Fund,Education Fund,Long-Term Security,No
57,3592.87,2910.7,1042.26,5,-360.1,0.47,Long,High,Real Estate,Beginner,High,Short-Term Savings,Car Purchase,Retirement,No
58,5527.69,4372.16,2183.8,3,-1028.26,0.32,Short,Low,Bonds,Beginner,Low,Emergency Fund,Car Purchase,Long-Term Security,Yes
59,2814.09,2824.99,126.5,2,-137.4,0.68,Long,High,Real Estate,Intermediate,Medium,Short-Term Savings,Home Renovation,Wealth Accumulation,Yes
60,7855.95,6617.85,403.55,5,834.55,0.3,Long,High,Equity,Expert,High,Vacation,Car Purchase,Wealth Accumulation,Yes
61,8996.19,6350.11,4058.05,3,-1411.97,0.52,Short,Moderate,Debt,Beginner,High,Emergency Fund,Home Renovation,Retirement,No
62,6884.28,4597.34,2450.91,4,-163.97,0.16,Medium,High,Mutual Fund,Beginner,Medium,Short-Term Savings,Education Fund,Wealth Accumulation,Yes
63,16917.28,8873.72,5004.87,3,3038.69,0.07,Short,Low,Debt,Beginner,Low,Emergency Fund,Home Renovation,Wealth Accumulation,Yes
64,8421.56,7403.2,1549.33,2,-530.97,0.03,Long,High,Equity,Beginner,High,Emergency Fund,Car Purchase,Retirement,Yes
65,7056.82,4583.23,2896.68,5,-423.09,0.33,Long,High,Mutual Fund,Expert,Medium,Vacation,Home Renovation,Retirement,No
66,11768.53,7017.42,5492.25,5,-741.14,0.13,Medium,High,Mutual Fund,Intermediate,Medium,Emergency Fund,Education Fund,Retirement,No
67,4536.64,4196.34,1147.68,5,-807.39,0.79,Long,High,Equity,Beginner,High,Vacation,Home Renovation,Retirement,Yes
68,16439.55,15498.97,1804.9,3,-864.32,0.64,Medium,Low,Equity,Expert,Medium,Emergency Fund,Home Renovation,Retirement,No
69,3341.91,3304.82,206.99,1,-169.9,0.55,Long,High,Equity,Beginner,High,Vacation,Car Purchase,Wealth Accumulation,No
70,19763.96,16351.22,4711.47,1,-1298.73,0.64,Short,Low,Debt,Beginner,Medium,Emergency Fund,Car Purchase,Wealth Accumulation,No
71,15900.41,17190.49,785.72,3,-2075.81,0.21,Medium,High,Mutual Fund,Beginner,High,Short-Term Savings,Education Fund,Long-Term Security,Yes
72,5576.88,6182.66,303.01,2,-908.78,0.7,Short,Moderate,Debt,Beginner,High,Vacation,Car Purchase,Long-Term Security,No
73,2099.4,2151.44,154.48,3,-206.53,0.8,Long,High,Mutual Fund,Beginner,High,Emergency Fund,Education Fund,Retirement,Yes
74,16678.31,15229.56,731.99,1,716.75,0.23,Long,High,Equity,Beginner,Medium,Vacation,Education Fund,Wealth Accumulation,Yes
75,14723.43,10268.4,3473.63,3,981.41,0.79,Long,Low,Equity,Intermediate,Medium,Vacation,Home Renovation,Retirement,No
76,15122.13,17222.81,638.23,5,-2738.91,0.26,Medium,Moderate,Equity,Beginner,High,Vacation,Education Fund,Long-Term Security,No
77,15882.87,10771.58,6624.35,2,-1513.07,0.01,Long,High,Mutual Fund,Beginner,High,Short-Term Savings,Home Renovation,Wealth Accumulation,No
78,3332.8,2105.42,934.33,2,293.05,0.29,Long,Moderate,Equity,Intermediate,High,Emergency Fund,Education Fund,Retirement,Yes
79,8452.38,6655.41,576.26,4,1220.72,0.8,Long,High,Mutual Fund,Intermediate,High,Short-Term Savings,Home Renovation,Retirement,No
80,4085.64,2193.77,1123.39,3,768.48,0.51,Medium,Moderate,Mutual Fund,Beginner,Medium,Vacation,Education Fund,Retirement,No
81,17535.86,19921.11,882.16,5,-3267.41,0.56,Medium,Moderate,Mutual Fund,Beginner,Medium,Emergency Fund,Car Purchase,Long-Term Security,No
82,13219.37,11665.85,1732.93,3,-179.42,0.19,Medium,High,Mutual Fund,Beginner,Medium,Vacation,Home Renovation,Wealth Accumulation,Yes
83,7956.16,6858.36,1872.99,4,-775.19,0.12,Short,Low,Money Market,Beginner,Low,Emergency Fund,Car Purchase,Wealth Accumulation,Yes
84,3144.05,2912.23,436.52,4,-204.7,0.71,Short,High,Bonds,Beginner,Low,Vacation,Car Purchase,Wealth Accumulation,Yes
85,7597.68,6253.39,690.82,3,653.47,0.33,Long,Moderate,Real Estate,Beginner,Medium,Short-Term Savings,Car Purchase,Wealth Accumulation,No
86,7853.3,4090.32,4246.38,3,-483.4,0.0,Long,High,Mutual Fund,Beginner,Low,Vacation,Car Purchase,Wealth Accumulation,Yes
87,15132.91,13589.39,384.86,3,1158.66,0.24,Medium,High,Equity,Intermediate,Low,Vacation,Education Fund,Long-Term Security,Yes
88,13476.03,13011.29,1658.63,1,-1193.88,0.16,Short,Low,Debt,Beginner,Low,Emergency Fund,Home Renovation,Wealth Accumulation,No
89,17969.83,13852.71,1610.78,4,2506.35,0.48,Medium,Low,Debt,Intermediate,High,Short-Term Savings,Home Renovation,Retirement,Yes
90,10499.87,10418.41,146.3,2,-64.84,0.6,Long,Low,Equity,Beginner,Medium,Vacation,Home Renovation,Retirement,No
91,4152.7,2689.08,1153.81,1,309.81,0.4,Medium,High,Equity,Beginner,Medium,Short-Term Savings,Car Purchase,Wealth Accumulation,Yes
92,14838.41,9553.41,4122.73,5,1162.27,0.15,Long,Moderate,Mutual Fund,Intermediate,Low,Short-Term Savings,Home Renovation,Wealth Accumulation,No
93,15694.13,9493.71,6601.92,2,-401.5,0.05,Medium,Moderate,Mutual Fund,Beginner,Medium,Emergency Fund,Education Fund,Long-Term Security,No
94,12102.99,8977.96,4130.11,2,-1005.08,0.25,Long,Moderate,Mutual Fund,Beginner,Low,Emergency Fund,Home Renovation,Long-Term Security,Yes
95,15877.41,16680.14,1726.87,2,-2529.6,0.64,Medium,High,Mutual Fund,Expert,High,Emergency Fund,Home Renovation,Wealth Accumulation,No
96,10888.32,11303.63,721.79,4,-1137.1,0.34,Short,Low,Debt,Expert,Low,Short-Term Savings,Education Fund,Long-Term Security,Yes
97,11409.19,8543.61,3251.57,5,-385.99,0.2,Long,High,Mutual Fund,Intermediate,High,Vacation,Car Purchase,Long-Term Security,No
98,9695.74,8560.63,1773.68,1,-638.57,0.02,Long,Moderate,Mutual Fund,Beginner,Low,Emergency Fund,Education Fund,Long-Term Security,Yes
99,2457.54,2380.21,239.8,5,-162.47,0.4,Short,Moderate,Debt,Intermediate,Low,Short-Term Savings,Home Renovation,Retirement,Yes
100,3942.05,2589.07,1278.86,1,74.11,0.55,Medium,Moderate,Equity,Beginner,Medium,Short-Term Savings,Home Renovation,Retirement,No
101,2565.73,1563.28,1435.64,4,-433.19,0.15,Short,Low,Bonds,Beginner,Medium,Vacation,Car Purchase,Wealth Accumulation,No
102,13455.39,15229.65,176.85,5,-1951.11,0.43,Short,Low,Debt,Beginner,Low,Short-Term Savings,Home Renovation,Wealth Accumulation,No
103,7658.41,6903.38,2071.24,2,-1316.21,0.34,Long,High,Mutual Fund,Intermediate,High,Emergency Fund,Education Fund,Wealth Accumulation,Yes
104,11154.27,12692.67,37.02,5,-1575.42,0.56,Long,High,Mutual Fund,Expert,Medium,Emergency Fund,Home Renovation,Retirement,No
105,18336.2,13193.65,2716.84,4,2425.7,0.69,Long,High,Real Estate,Expert,High,Emergency Fund,Home Renovation,Wealth Accumulation,Yes
106,6487.26,6208.12,454.29,4,-175.15,0.25,Long,Low,Mutual Fund,Expert,High,Emergency Fund,Education Fund,Long-Term Security,No
107,9386.89,6051.66,3265.0,4,70.24,0.72,Short,Low,Bonds,Beginner,Low,Emergency Fund,Car Purchase,Retirement,No
108,15599.92,10448.52,1085.41,1,4065.99,0.57,Long,High,Equity,Intermediate,Medium,Short-Term Savings,Home Renovation,Retirement,No
109,6118.37,5094.99,1982.68,5,-959.3,0.03,Short,Moderate,Debt,Expert,Low,Emergency Fund,Education Fund,Retirement,No
110,3385.64,2396.19,1380.84,2,-391.4,0.63,Short,Low,Bonds,Intermediate,Low,Emergency Fund,Home Renovation,Long-Term Security,No
111,7215.53,4393.92,2780.87,2,40.73,0.4,Short,Low,Debt,Beginner,Medium,Emergency Fund,Car Purchase,Retirement,No
112,4901.98,3288.61,1189.02,3,424.36,0.76,Long,Low,Mutual Fund,Expert,Low,Emergency Fund,Education Fund,Long-Term Security,Yes
113,18734.56,9802.6,11828.82,4,-2896.87,0.26,Medium,Low,Mutual Fund,Intermediate,Medium,Vacation,Home Renovation,Long-Term Security,Yes
114,16546.17,15849.17,3328.17,2,-2631.16,0.47,Long,Low,Equity,Beginner,Low,Short-Term Savings,Car Purchase,Long-Term Security,No
115,13401.27,10987.38,2543.58,4,-129.69,0.76,Medium,High,Mutual Fund,Beginner,Low,Short-Term Savings,Education Fund,Wealth Accumulation,No
116,17686.29,9926.57,7929.05,2,-169.33,0.22,Short,Moderate,Bonds,Beginner,Low,Emergency Fund,Home Renovation,Long-Term Security,No
117,16466.1,10070.68,5492.78,5,902.64,0.38,Medium,Moderate,Mutual Fund,Intermediate,Medium,Vacation,Car Purchase,Long-Term Security,Yes
118,5358.26,3036.24,1995.28,3,326.74,0.6,Short,Low,Money Market,Beginner,Low,Vacation,Car Purchase,Retirement,Yes
119,18066.06,16226.67,1804.68,4,34.71,0.55,Long,Moderate,Equity,Beginner,Medium,Vacation,Car Purchase,Wealth Accumulation,Yes
120,11708.16,6571.05,3455.81,1,1681.3,0.67,Long,High,Mutual Fund,Expert,High,Emergency Fund,Car Purchase,Wealth Accumulation,Yes
121,16533.92,16373.27,270.88,1,-110.23,0.42,Medium,Low,Debt,Expert,Low,Vacation,Home Renovation,Wealth Accumulation,Yes
122,18129.64,9306.53,4448.65,2,4374.47,0.26,Long,High,Real Estate,Intermediate,High,Vacation,Education Fund,Wealth Accumulation,Yes
123,7724.06,5114.06,2891.04,5,-281.04,0.43,Medium,Low,Mutual Fund,Intermediate,Medium,Emergency Fund,Education Fund,Long-Term Security,No
124,3980.93,4295.16,459.41,4,-773.64,0.28,Long,Low,Real Estate,Intermediate,High,Emergency Fund,Home Renovation,Retirement,No
125,6102.83,5901.72,1369.17,3,-1168.06,0.14,Short,Low,Debt,Expert,Medium,Vacation,Car Purchase,Long-Term Security,No
126,9687.94,5303.46,3513.32,5,871.16,0.44,Long,High,Equity,Expert,Medium,Short-Term Savings,Car Purchase,Wealth Accumulation,Yes
127,16724.27,17288.41,1686.84,2,-2250.98,0.04,Long,High,Equity,Intermediate,High,Emergency Fund,Home Renovation,Wealth Accumulation,No
128,17493.15,14352.65,1233.03,5,1907.47,0.03,Medium,Moderate,Debt,Beginner,Medium,Short-Term Savings,Home Renovation,Retirement,No
129,2125.14,2232.26,221.04,3,-328.17,0.05,Short,Low,Money Market,Beginner,Low,Short-Term Savings,Car Purchase,Retirement,No
130,11193.45,9967.55,244.8,5,981.09,0.54,Medium,Moderate,Debt,Intermediate,Medium,Short-Term Savings,Education Fund,Long-Term Security,Yes
131,9513.4,8972.96,695.52,4,-155.08,0.33,Medium,Moderate,Mutual Fund,Expert,Low,Emergency Fund,Home Renovation,Long-Term Security,Yes
132,5997.94,6872.3,217.37,2,-1091.73,0.4,Medium,High,Mutual Fund,Intermediate,Low,Short-Term Savings,Car Purchase,Long-Term Security,Yes
133,4157.58,2706.66,708.26,3,742.66,0.27,Long,Low,Mutual Fund,Intermediate,Low,Emergency Fund,Home Renovation,Wealth Accumulation,Yes
134,8077.07,7314.31,118.54,2,644.22,0.2,Medium,Low,Mutual Fund,Beginner,Low,Emergency Fund,Home Renovation,Long-Term Security,No
135,18972.37,15162.89,6325.51,4,-2516.02,0.29,Long,High,Mutual Fund,Beginner,High,Short-Term Savings,Car Purchase,Wealth Accumulation,No
136,7817.65,4109.3,1636.02,3,2072.33,0.15,Long,High,Equity,Intermediate,Low,Vacation,Home Renovation,Retirement,Yes
137,11338.23,5775.76,494.12,3,5068.35,0.54,Medium,Moderate,Mutual Fund,Expert,Medium,Vacation,Home Renovation,Long-Term Security,Yes
138,14654.34,8462.86,682.24,2,5509.24,0.08,Long,High,Equity,Intermediate,High,Emergency Fund,Car Purchase,Long-Term Security,No
139,8545.33,7878.02,598.27,5,69.03,0.41,Medium,Moderate,Mutual Fund,Beginner,Medium,Short-Term Savings,Education Fund,Wealth Accumulation,No
140,19492.08,16931.91,1149.73,5,1410.44,0.38,Medium,High,Mutual Fund,Beginner,Medium,Short-Term Savings,Home Renovation,Long-Term Security,No
141,19324.05,16613.45,5091.34,1,-2380.74,0.24,Medium,Low,Debt,Beginner,Medium,Vacation,Home Renovation,Wealth Accumulation,No
142,6532.08,3401.3,1427.38,1,1703.41,0.08,Short,Low,Bonds,Beginner,Medium,Short-Term Savings,Home Renovation,Wealth Accumulation,Yes
143,10950.47,8815.64,3480.25,3,-1345.42,0.56,Medium,Moderate,Debt,Beginner,Medium,Emergency Fund,Home Renovation,Retirement,Yes
144,7415.81,8164.84,127.63,2,-876.66,0.46,Long,High,Equity,Expert,High,Emergency Fund,Home Renovation,Long-Term Security,No
145,7127.13,5405.46,1551.14,3,170.53,0.65,Medium,High,Mutual Fund,Expert,Medium,Short-Term Savings,Education Fund,Wealth Accumulation,Yes
146,2663.97,2414.08,538.51,2,-288.63,0.19,Long,High,Equity,Beginner,High,Vacation,Car Purchase,Long-Term Security,Yes
147,12972.16,13061.43,1633.34,4,-1722.61,0.63,Medium,Moderate,Mutual Fund,Intermediate,High,Short-Term Savings,Car Purchase,Retirement,Yes
148,11048.22,11153.75,1264.85,1,-1370.37,0.23,Short,Moderate,Money Market,Expert,Low,Emergency Fund,Education Fund,Long-Term Security,No
149,2926.62,2451.14,981.06,3,-505.57,0.09,Long,High,Equity,Intermediate,High,Emergency Fund,Car Purchase,Wealth Accumulation,Yes
150,7015.64,7420.22,228.19,4,-632.78,0.11,Medium,High,Mutual Fund,Intermediate,Low,Emergency Fund,Education Fund,Long-Term Security,No
151,18348.79,13842.25,4036.79,5,469.74,0.18,Medium,Moderate,Mutual Fund,Intermediate,High,Vacation,Education Fund,Wealth Accumulation,No
152,6312.11,6802.25,682.69,1,-1172.83,0.55,Short,Low,Bonds,Beginner,Low,Emergency Fund,Car Purchase,Wealth Accumulation,Yes
153,4608.11,3023.6,195.21,2,1389.3,0.2,Long,High,Mutual Fund,Expert,High,Emergency Fund,Home Renovation,Retirement,No
154,10810.15,7374.04,312.87,5,3123.24,0.48,Long,High,Real Estate,Intermediate,Medium,Short-Term Savings,Car Purchase,Long-Term Security,No
155,19741.71,10552.5,3065.02,5,6124.18,0.21,Long,Moderate,Equity,Intermediate,Medium,Short-Term Savings,Car Purchase,Long-Term Security,No
156,6356.99,6465.88,735.9,4,-844.78,0.29,Long,Low,Equity,Beginner,High,Vacation,Education Fund,Wealth Accumulation,No
157,14098.44,10871.11,1571.5,3,1655.83,0.71,Short,Low,Money Market,Expert,Low,Vacation,Car Purchase,Retirement,Yes
158,15709.15,10194.07,1646.89,3,3868.19,0.4,Medium,Moderate,Debt,Beginner,High,Short-Term Savings,Education Fund,Wealth Accumulation,No
159,6277.48,4084.53,1582.15,4,610.8,0.48,Long,High,Mutual Fund,Expert,High,Emergency Fund,Car Purchase,Retirement,No
160,15107.89,16405.81,1057.63,5,-2355.55,0.15,Long,Moderate,Mutual Fund,Expert,Medium,Emergency Fund,Education Fund,Long-Term Security,Yes
161,8620.1,8982.54,338.43,1,-700.87,0.11,Medium,Low,Debt,Expert,Medium,Emergency Fund,Education Fund,Wealth Accumulation,No
162,13381.5,11505.35,1368.88,5,507.27,0.33,Long,High,Equity,Intermediate,High,Short-Term Savings,Car Purchase,Wealth Accumulation,No
163,13403.53,12069.51,2463.28,4,-1129.25,0.68,Medium,High,Equity,Intermediate,Medium,Emergency Fund,Education Fund,Wealth Accumulation,Yes
164,11643.94,9411.94,4313.32,5,-2081.31,0.19,Long,Moderate,Real Estate,Expert,Medium,Short-Term Savings,Home Renovation,Long-Term Security,Yes
165,3625.22,2735.53,1089.53,5,-199.84,0.5,Medium,High,Debt,Expert,Medium,Vacation,Car Purchase,Long-Term Security,No
166,17035.44,18654.83,1399.6,5,-3018.99,0.7,Short,Moderate,Bonds,Expert,High,Emergency Fund,Car Purchase,Retirement,No
167,7774.04,4521.76,1763.29,5,1488.99,0.75,Short,Low,Debt,Beginner,Medium,Short-Term Savings,Car Purchase,Retirement,Yes
168,5357.33,4135.81,624.28,1,597.25,0.8,Short,Moderate,Debt,Beginner,High,Emergency Fund,Education Fund,Long-Term Security,Yes
169,2733.95,1979.29,591.21,2,163.46,0.61,Short,High,Bonds,Expert,Low,Short-Term Savings,Home Renovation,Wealth Accumulation,Yes
170,12636.07,10409.57,3836.88,2,-1610.38,0.06,Medium,High,Mutual Fund,Intermediate,Medium,Emergency Fund,Home Renovation,Long-Term Security,No
171,14196.16,11320.88,2607.53,3,267.75,0.7,Short,Low,Debt,Beginner,Medium,Vacation,Home Renovation,Retirement,No
172,2298.58,1924.55,705.95,2,-331.92,0.71,Short,Low,Bonds,Beginner,Low,Vacation,Car Purchase,Long-Term Security,No
173,11217.68,6629.06,6755.44,2,-2166.82,0.45,Long,Moderate,Equity,Beginner,High,Short-Term Savings,Education Fund,Retirement,No
174,6076.92,5065.37,160.4,2,851.15,0.05,Long,High,Equity,Expert,High,Short-Term Savings,Home Renovation,Long-Term Security,Yes
175,13613.11,8951.6,335.31,5,4326.19,0.38,Long,Low,Mutual Fund,Intermediate,Low,Vacation,Car Purchase,Retirement,No
176,5138.6,3184.98,445.98,5,1507.64,0.17,Short,Moderate,Debt,Beginner,Medium,Short-Term Savings,Car Purchase,Long-Term Security,Yes
177,14436.88,7826.84,3650.52,1,2959.52,0.35,Medium,Low,Equity,Intermediate,Medium,Vacation,Home Renovation,Long-Term Security,No
178,8961.24,8922.92,239.88,5,-201.56,0.58,Long,High,Real Estate,Expert,Medium,Emergency Fund,Car Purchase,Long-Term Security,No
179,18861.14,14670.9,6932.64,5,-2742.4,0.53,Long,Moderate,Equity,Beginner,High,Vacation,Home Renovation,Long-Term Security,No
180,4475.38,4060.59,30.32,2,384.47,0.62,Long,Low,Mutual Fund,Beginner,High,Emergency Fund,Education Fund,Wealth Accumulation,Yes
181,8139.19,7918.91,583.62,1,-363.34,0.38,Short,Low,Debt,Beginner,Medium,Short-Term Savings,Car Purchase,Long-Term Security,Yes
182,4042.52,3806.26,192.96,1,43.3,0.41,Long,High,Equity,Intermediate,High,Vacation,Car Purchase,Long-Term Security,No
183,18644.49,15024.2,6846.05,2,-3225.77,0.75,Short,Low,Bonds,Expert,Low,Emergency Fund,Education Fund,Wealth Accumulation,No
184,17792.11,13382.05,5334.75,2,-924.69,0.5,Short,Moderate,Bonds,Beginner,Low,Vacation,Education Fund,Retirement,Yes
185,6642.95,4944.84,2760.44,1,-1062.33,0.6,Long,High,Mutual Fund,Beginner,Low,Emergency Fund,Education Fund,Long-Term Security,Yes
186,13879.71,12714.26,3832.33,4,-2666.88,0.53,Medium,Moderate,Mutual Fund,Beginner,Low,Short-Term Savings,Home Renovation,Long-Term Security,No
187,16710.0,13729.21,3143.05,2,-162.26,0.51,Medium,Low,Debt,Intermediate,High,Short-Term Savings,Education Fund,Long-Term Security,Yes
